titulo         9999
1 28381712 63042528
2 793663958 882189167
1 920298230 68104494
1 695872176 120699048
1 35969321 531946749
1 660881095 436119959
1 965193617 710630059
1 319776909 486424769
1 763380659 71428635
1 720460371 57632189
1 47070319 275342846
1 26976418 859564965
1 868924171 119742397
1 411258467 418678823
1 994221449 309636036
1 654677131 599817136
1 80130535 74633654
1 957149195 799499266
2 154028079 32129118
1 558081675 617625276
1 824327774 852869399
1 993464077 465386714
1 127675900 98645103
2 31749949 483921896
1 790759399 309906288
2 406986323 276693544
2 963702188 413986620
1 985333596 255345955
2 590924585 705116367
1 948954338 861996144
1 671871318 672225700
2 526842893 366404648
1 228624637 646029576
1 78267677 977833953
1 56723056 654641502
1 429067533 87940505
1 107871892 319669354
1 944505757 902117853
2 60305608 91555919
1 779552398 139422839
1 844045874 395010814
2 645384030 822469791
1 263522480 911041246
1 871951804 465562700
2 717902011 8948609
2 119162209 97466237
1 116584370 721399104
1 399704486 297426964
1 261699605 338752179
1 760934907 767864064
1 230900356 32311741
1 183311568 425973578
1 860532652 817403266
1 661736599 782190158
1 624217081 758864772
2 307061957 180086136
1 317517624 21843773
2 256538670 291242092
1 279617928 637274838
1 659963692 49713267
1 699471716 695647134
1 718317771 761197410
1 706976973 927944938
1 424141434 839835423
1 190839673 249299140
1 298711745 424510107
2 114971003 375343699
1 61443338 324504715
1 280533295 989462478
1 39986051 469134802
1 728487624 887225021
1 820237677 830085824
1 861406849 477646716
1 459544424 4918134
1 620242454 322280418
1 49563955 590715227
1 820485545 908057428
1 258623917 978250069
2 702570231 232781211
2 630786028 286985935
1 253614550 892186202
1 645183709 750642038
1 92993555 367562447
1 607458206 412810404
1 997821547 686941006
1 103981594 359940278
2 68196266 565858811
1 167003151 853810806
1 962744246 346240955
1 827377252 772860039
1 159560611 675597621
1 899001241 611895773
1 190936325 519224235
2 214173950 231963856
2 482979544 741988926
2 328057020 63813291
1 634457850 76777595
1 361675034 293575428
2 278761222 123518978
1 343220311 362691135
2 453920532 973445758
1 59773312 735191635
2 444020072 932655357
1 631346859 122937964
1 14066964 200262778
1 858702788 920628654
2 129329978 981446638
2 185183986 683448199
1 873790743 307839415
1 923184294 182058261
1 232567126 335449142
1 371950372 45005787
1 450888196 401098487
1 734201534 77124854
2 823623506 753655358
1 747119916 300522781
2 91352639 60479715
2 483101267 994808809
2 83112955 808042713
2 722391004 500547737
1 704833203 611845969
1 959006626 159592447
1 344113728 138943703
1 99956702 433057138
1 462344960 35907874
1 834216 928745008
1 525045748 433581113
1 255574037 258524437
1 647342373 524085887
1 108521621 502246422
1 279611441 528247829
2 346294088 484053646
1 13212639 312481541
1 586363599 3530888
1 732007361 61386311
1 841555274 485169554
1 323696000 782594149
2 801534260 221390189
2 670006836 193626362
2 823963737 383971903
1 89305353 449955774
2 896300901 678943049
2 179966816 45301536
1 121916267 933257387
1 282943563 696647461
2 598415451 902566056
1 415924270 172913483
1 509205352 492017769
2 131845418 870300269
1 176453461 771381098
2 958565741 192089193
1 231422468 217513537
1 484647774 862643125
1 330170429 869634933
1 243072132 592404508
1 742740690 713315397
2 223731790 809307211
1 994831979 980879158
2 47711781 880502936
1 406610088 395762840
1 602074428 914945310
1 750252536 617881015
2 412146705 314909360
1 767693244 331579310
2 374958131 204287419
1 824424290 534551586
1 581670663 793271897
2 562323543 689235332
1 174806991 223468641
2 624569819 37859975
2 103423940 724867735
1 506272973 392626375
1 166076904 673268075
1 194158968 995093961
2 648684127 452625248
1 103829771 748713342
1 61494046 29270424
2 784500174 337810416
1 2233986 477854212
2 217702546 762039781
2 886930164 951272521
1 716644628 557970420
2 84352579 374588233
1 359951988 44607295
1 134252004 515601878
1 584303676 742143379
1 199918365 9031578
1 704162451 868913918
1 847979524 83356954
1 378349791 18837148
1 988595004 28233967
1 530840996 990528712

1 25652920 651897040
1 893744306 305418755
1 52566766 666835823
1 762816568 180685786
1 372992538 173799151
2 100644831 468044428
1 50889120 33421843
#comentario
1 931217827 910177631
1 857118575 271585949
1 47722996 68993441
2 650754105 883007142
1 801652876 67485654
